p_symbol,last_close,last_volume,avg_volume,pct_change_1_day,pct_change_1_week,pct_change_1_month,pct_change_3_months,pct_change_1_year,sma_5,ema_5,sma_13,ema_13,sma_20,ema_20,sma_34,ema_34,sma_50,ema_50,sma_89,ema_89,sma_200,ema_200,bband_upper,bband_lower,bband_mid,macd,macd_signal,macd_hist,adx,dmi_plus,dmi_minus,rsi,stoch_k,stoch_d,cci,psar,true_range,atr,williams_r,trix,stochrsi_k,stochrsi_d,momentum,candle,p_date
NILAINFRA,13.85,131585,321444.56,-3.15,3.75,2.21,8.63,22.57,13.82,13.84,13.47,13.55,13.2,13.42,13.37,13.25,12.97,13.14,12.94,13.02,13.34,12.63,14.34,12.05,13.2,0.24,0.15,0.09,28.76,26.37,18.12,56.24,65.81,60.87,14.93,13.06,1.4,0.83,-32.56,0.09,22.07,74.02,0.3,NO PATTERN,26-08-2016
NILKAMAL,1244.6,54067,97047.32,-0.61,1.78,-3.5,2.93,18.09,1241.59,1237.77,1205.94,1220.23,1202.51,1215.87,1217.26,1212.8,1205.56,1210.42,1213.79,1201.73,1173.62,1149.24,1269.32,1135.69,1202.51,7.16,-0.34,7.5,14.68,26.12,16.16,57.67,67.48,73.08,28.3,1169.23,28.9,39.5,-24.32,0.01,52.3,84.1,-45.1,NO PATTERN,26-08-2016
NIPPOBATRY,1025.2,1250,5441.86,0.87,0.66,22.73,34.55,-18.05,1012.76,1013.2,990.12,987.39,958.99,966.48,919.95,935.62,894.78,914.6,863.01,900.38,944.72,951.33,1083.23,834.75,958.99,39.09,35.61,3.48,46.93,26.13,6.61,66.75,68.46,67.47,99.13,920.48,19.8,45.41,-11.13,0.24,100,66.29,189.85,NO PATTERN,26-08-2016
NIRVIKARA,42.8,175308,40036.76,4.26,12.48,-10.65,18.72,57.35,40.11,40.56,38.67,39.54,39.24,39.32,39.62,38.84,37.7,38.46,37.07,38.66,44.26,41.73,43.83,34.65,39.24,0.46,0.2,0.26,18.57,30.96,11.06,64.04,70,74.43,147.91,36.17,4.95,2.85,-32.16,0.16,100,100,-5.1,NO PATTERN,26-08-2016
NITCO,55.45,75582,469190.64,0,-1.95,-10.2,29.4,103.11,55.6,55.83,57.1,57.18,59,58.03,60.73,58.11,59.15,56.89,51.88,53.19,44.05,45.65,65.34,52.66,59,-1.28,-0.71,-0.57,17.84,18.91,21.35,39.95,44.27,46.47,52.49,59.79,3.7,3.01,-82.5,0.48,67.05,78.03,-6.3,NO PATTERN,26-08-2016
NITESHEST,13.15,211552,243551.56,-2.23,-0.38,-0.38,3.14,-14.89,13.4,13.34,13.23,13.24,13.02,13.2,13.23,13.16,13.24,13.11,13.02,13.05,13.11,13.51,13.81,12.22,13.02,0.07,0.02,0.05,27.11,29.96,13.02,49.6,24.46,31.48,-57.06,12.6,0.75,0.74,-71.93,0.05,13.49,48.28,-0.05,NO PATTERN,26-08-2016
NITINFIRE,25.25,813417,548742.96,-2.32,0,-14.12,-18.15,-50.92,25.48,25.37,24.89,25.58,26.05,26.16,27.87,27.26,28.89,28.24,30.57,30.03,34.79,34.01,29.56,22.53,26.05,-1.16,-1.36,0.2,19.72,23.79,25.62,39.16,56.54,62.02,-38.57,23.28,1.4,1.24,-54.81,-0.35,41.11,77.51,-4.15,Evening Star - Bearish,26-08-2016
NITINSPIN,69.7,35876,191291.2,0.14,-1.48,-4.85,12.33,-10.41,69.12,69.57,70.24,70.48,71.9,71.26,72.99,71.98,74.95,71.86,70.62,70.6,66.79,69.02,77.33,66.46,71.9,-1.35,-1.14,-0.21,12.44,15.32,18.19,43.07,63.4,47.06,63.1,74.81,1.55,2.96,-65.96,0.1,95.43,95.61,-3.55,NO PATTERN,26-08-2016
NKIND,46.5,538,,4.26,24.66,22.69,0,0,42.62,43.04,38.11,39.84,37.85,38.61,36.27,37.44,,,,,,,44.47,31.22,37.85,2.18,1.23,0.95,19.28,51.78,17.02,74.04,98.72,99.25,111.55,35.66,2.3,1.71,-2.21,,100,100,8.6,Doji,26-08-2016
NLCINDIA,76.15,97612,159497.54,-2.87,-2.56,-2.31,10.12,-9.56,77.96,77.31,76.27,76.72,75.96,76.3,75.92,75.49,74.44,74.66,72.19,73.5,73.35,74.39,78.97,72.95,75.96,0.84,0.74,0.1,25.91,20.17,14.86,51.21,45.39,59.32,-166.67,74.86,3.2,2.36,-64.44,0.15,0,33.71,-1.8,NO PATTERN,26-08-2016
