"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"SGFL","2.30","1.00","469.04","4.55","15.00","21.05","21.05","0.00","2.13","2.16","2.04","2.07","1.99","2.06","2.09","2.09","2.18","2.11","2.19","2.19","","","2.21","1.77","1.99","0.01","-0.04","0.05","16.50","46.14","31.43","63.35","100.00","94.44","152.78","1.87","0.10","0.08","0.00","-0.31","100.00","100.00","0.40","NO PATTERN","2016-08-30"
"SGJHL","5.90","12173.00","39087.64","-0.84","-1.67","-10.61","-11.28","-51.44","5.96","5.96","6.07","6.08","6.22","6.19","6.46","6.34","6.57","6.44","6.62","6.71","7.62","7.90","6.74","5.71","6.22","-0.20","-0.18","-0.02","20.09","18.03","13.59","30.27","15.87","29.56","-152.78","5.81","0.10","0.29","-88.89","-0.13","0.00","48.98","-0.70","NO PATTERN","2016-08-30"
"SGL","10.55","34835.00","61275.70","-1.86","17.88","12.23","170.51","0.00","10.29","10.25","9.31","9.64","9.06","9.37","9.22","8.89","8.42","8.37","6.58","7.46","6.23","6.36","10.67","7.45","9.06","0.52","0.36","0.17","43.22","28.13","6.16","64.96","83.91","84.75","74.64","8.30","1.00","1.16","-19.74","1.01","67.25","89.08","1.15","NO PATTERN","2016-08-30"
"SHAHALLOYS","9.90","1887.00","4018.04","5.32","1.02","15.12","15.12","0.00","9.79","9.78","10.05","9.82","9.87","9.72","9.38","9.49","9.06","9.30","8.90","9.01","","","10.75","8.99","9.87","0.21","0.30","-0.09","41.20","29.19","12.31","53.09","33.00","34.12","29.94","11.31","0.55","0.88","-69.81","0.25","51.95","17.32","1.30","NO PATTERN","2016-08-30"
"SHAKTIPUMP","140.80","11933.00","34558.74","-0.98","1.22","0.14","-10.66","-4.09","140.57","140.48","138.22","139.57","136.94","140.20","142.86","142.71","147.48","145.19","153.64","148.03","149.07","148.28","145.02","128.87","136.94","-1.65","-2.93","1.29","16.80","18.37","13.83","48.96","40.41","31.77","58.50","135.70","4.35","5.68","-26.26","-0.23","62.03","54.01","0.20","NO PATTERN","2016-08-30"
"SHALPAINTS","206.20","263718.00","241411.54","-0.55","-0.65","33.03","43.74","60.09","206.24","204.41","189.62","192.99","181.19","184.21","164.05","172.19","154.98","163.61","147.00","151.75","134.04","138.05","223.81","138.58","181.19","16.11","13.85","2.26","40.47","29.85","12.00","69.41","44.05","49.27","14.54","174.98","11.95","13.57","-21.21","0.55","19.27","16.48","51.20","NO PATTERN","2016-08-30"
"SHANTIGEAR","124.60","116496.00","73514.74","0.81","1.10","4.18","24.60","16.45","125.41","124.42","122.52","123.18","121.50","122.29","120.80","120.50","119.83","118.13","111.29","112.77","101.30","106.38","127.70","115.31","121.50","1.77","1.55","0.22","33.46","27.33","17.79","56.44","21.99","36.67","-48.48","114.76","2.70","4.87","-56.97","0.28","15.24","6.64","5.00","NO PATTERN","2016-08-30"
"SHARDACROP","373.25","12613.00","57701.54","-0.08","3.77","-3.20","4.36","13.81","369.56","370.09","363.74","367.64","367.43","368.32","371.23","368.56","376.13","364.56","351.17","347.62","286.62","316.58","381.99","352.86","367.43","-1.19","-2.57","1.37","18.60","19.84","14.16","55.67","64.69","64.80","61.39","351.62","6.70","11.55","-28.23","0.18","96.40","98.80","-12.35","NO PATTERN","2016-08-30"
"SHARDAMOTR","1179.85","5849.00","4824.58","-0.96","-1.47","13.14","43.04","0.00","1191.89","1195.25","1206.52","1184.01","1158.85","1153.32","1074.79","1095.41","999.15","1047.74","940.60","983.05","905.51","933.39","1331.24","986.46","1158.85","60.99","71.40","-10.41","51.71","27.38","11.94","58.04","7.08","6.93","-90.52","1427.65","31.95","70.04","-71.32","0.59","0.00","0.00","137.00","NO PATTERN","2016-08-30"
"SHARIABEES","192.00","588.00","635.90","-0.98","-2.26","2.40","7.20","0.00","194.23","194.24","197.95","195.74","197.29","195.40","193.57","193.67","190.47","191.81","186.52","189.04","184.72","186.15","204.55","190.03","197.29","0.99","2.20","-1.21","25.77","25.97","19.41","46.40","34.98","25.18","-111.75","213.76","5.81","8.41","-81.82","0.14","0.00","15.42","4.50","NO PATTERN","2016-08-30"
"SHARONBIO","8.85","341360.00","484908.00","-1.12","-9.69","-25.94","-15.71","-61.10","9.08","9.10","9.65","9.66","10.22","10.03","10.89","10.47","11.22","10.78","11.06","11.64","15.89","14.58","11.99","8.45","10.22","-0.66","-0.52","-0.14","29.26","9.62","27.83","24.01","10.84","11.29","-80.11","10.15","0.25","0.61","-96.15","-0.17","6.65","7.31","-3.10","NO PATTERN","2016-08-30"
"SHEMAROO","334.00","15506.00","32483.42","0.47","0.91","0.69","6.23","21.06","332.68","332.20","327.48","329.71","328.01","328.92","330.53","327.78","326.02","326.15","324.41","320.88","302.45","304.71","340.07","315.96","328.01","1.45","0.51","0.94","12.80","20.41","16.71","56.65","69.83","72.05","89.43","315.25","7.55","9.85","-15.16","0.06","100.00","71.21","2.30","Engulfing Line - Bullish","2016-08-30"
"SHILPAMED","556.45","69259.00","77736.10","0.60","-2.96","-5.02","24.29","-0.18","569.20","562.94","567.22","566.99","566.53","566.46","570.35","559.94","554.52","549.27","515.88","526.56","479.09","500.69","591.68","541.38","566.53","2.54","5.47","-2.93","25.75","24.76","26.06","47.39","30.41","44.36","-51.27","610.80","14.05","24.87","-60.69","0.32","9.55","4.13","-29.40","NO PATTERN","2016-08-30"
"SHILPI","196.45","257631.00","325280.58","1.08","3.80","6.25","87.72","229.61","192.63","193.19","189.13","189.78","186.56","187.64","185.38","181.90","181.08","172.90","144.09","150.76","94.95","114.04","196.12","177.01","186.56","4.60","4.33","0.27","20.79","24.55","12.48","69.58","89.42","86.76","127.46","182.92","3.15","5.19","-5.43","0.86","100.00","100.00","11.55","Shooting Star - Bearish","2016-08-30"
"SHIRPUR-G","136.90","286964.00","235643.20","-0.11","9.48","25.54","66.65","83.76","133.54","132.96","122.38","125.05","117.22","120.92","113.52","115.50","110.39","110.78","99.70","101.85","79.57","86.94","138.97","95.46","117.22","7.47","5.18","2.29","30.61","32.83","10.04","77.99","80.06","84.36","100.62","116.77","7.10","6.95","-10.06","0.49","93.66","97.89","27.85","Doji","2016-08-30"
"SHIVAMAUTO","45.60","130945.00","145523.44","-1.19","-4.10","-19.01","2.36","-42.26","46.69","46.63","48.55","48.38","50.43","49.32","51.39","49.97","50.82","50.00","48.88","50.04","51.27","53.98","56.80","44.05","50.42","-1.54","-0.89","-0.65","20.85","18.69","25.10","32.60","10.77","11.79","-78.53","50.16","2.00","2.17","-96.55","0.12","0.00","2.30","-10.70","Doji","2016-08-30"
"SHIVTEX","136.40","3675.00","21109.30","-0.37","-0.07","-1.84","56.78","153.30","136.64","136.65","138.43","137.73","138.27","138.29","140.60","137.58","139.28","135.08","124.37","127.86","111.57","108.34","143.61","132.94","138.27","-0.65","-0.09","-0.56","13.70","15.46","15.79","47.37","33.90","31.91","1.37","133.39","4.55","7.52","-80.69","0.35","46.09","35.23","-2.55","NO PATTERN","2016-08-30"
"SHK","336.75","318415.00","135829.88","3.42","14.83","32.11","53.91","0.00","311.03","316.10","293.41","296.96","280.40","285.86","263.06","270.74","248.38","260.30","236.97","248.35","","","330.00","230.81","280.40","20.39","16.16","4.24","66.72","45.00","2.19","85.71","70.16","57.04","123.82","288.98","29.75","14.47","-14.05","0.41","100.00","86.60","81.85","NO PATTERN","2016-08-30"
"SHOPERSTOP","385.80","112726.00","22317.48","0.94","3.95","2.52","9.91","-1.68","379.53","380.60","377.12","377.83","376.10","376.87","375.07","375.38","374.50","373.97","371.13","372.21","372.58","375.21","390.80","361.39","376.10","1.81","1.10","0.71","14.34","27.97","10.14","58.12","65.03","61.20","153.00","361.35","31.00","12.70","-48.67","0.05","100.00","100.00","9.50","Doji","2016-08-30"
"SHREECEM","17058.60","14149.00","12969.06","0.73","1.67","5.89","29.92","55.05","17033.75","17021.35","17021.29","16955.01","16948.49","16821.92","16580.00","16453.65","15985.49","16003.84","14763.34","15065.51","12747.70","13517.21","17352.86","16544.11","16948.49","295.28","363.90","-68.62","30.47","17.70","13.00","58.23","59.19","62.11","-21.82","16312.45","479.85","458.65","-36.13","0.42","55.08","51.01","948.35","Doji","2016-08-30"
"SHREEPUSHK","117.85","75046.00","69098.16","-2.08","-5.38","-6.32","2.93","0.00","121.50","119.98","118.00","119.56","117.52","119.67","121.08","120.29","122.26","120.76","121.80","120.11","114.93","110.55","126.01","109.03","117.52","-0.35","-0.95","0.60","19.31","17.39","21.45","46.39","30.35","44.58","-72.22","108.88","4.75","6.01","-58.07","-0.05","0.00","3.43","-7.95","NO PATTERN","2016-08-30"
"SHREERAMA","10.10","18054.00","38277.62","-3.81","-2.88","8.02","88.79","87.04","10.37","10.23","9.78","9.94","9.53","9.75","9.53","9.40","9.10","9.02","7.80","8.28","6.79","7.03","10.94","8.12","9.53","0.38","0.32","0.06","24.43","26.61","17.08","56.15","43.47","52.40","-28.27","9.34","0.80","0.60","-33.33","0.62","0.00","11.76","0.75","NO PATTERN","2016-08-30"
"SHRENUJ","2.25","1484359.00","1069606.52","-4.26","-4.26","-2.17","-15.09","-96.37","2.33","2.32","2.35","2.39","2.47","2.51","2.66","2.79","3.42","3.17","3.56","4.80","11.25","13.79","2.86","2.08","2.47","-0.24","-0.29","0.05","39.10","24.29","43.46","35.15","58.33","67.86","-71.90","2.11","0.10","0.14","-72.73","-1.13","40.60","69.94","-0.05","NO PATTERN","2016-08-30"
"SHREYANIND","65.35","8345.00","9008.36","-0.68","7.04","1.40","45.87","0.00","63.13","63.60","60.85","62.19","61.55","61.90","62.53","60.80","60.40","58.79","52.14","53.97","42.93","46.08","66.74","56.36","61.55","0.71","0.36","0.35","17.91","23.94","14.57","58.01","59.82","64.82","81.61","51.61","3.55","6.40","-32.14","0.58","90.13","88.94","0.90","NO PATTERN","2016-08-30"
"SHREYAS","274.70","20643.00","49202.92","1.68","-4.03","-28.83","-16.95","-50.71","275.88","274.36","269.88","285.27","301.91","300.65","343.54","323.35","368.27","335.13","351.68","341.63","333.79","375.01","395.25","208.56","301.91","-28.92","-30.65","1.73","36.69","16.85","34.48","35.33","50.02","55.19","-18.04","289.00","12.80","22.44","-78.50","-0.21","83.22","48.76","-111.30","NO PATTERN","2016-08-30"
"SHRIPISTON","1463.10","189.00","531.36","-3.13","-13.70","-30.75","0.00","0.00","1532.69","1558.18","1846.53","1772.99","2106.04","1828.27","1917.06","1713.98","1558.70","1443.76","","","","","2994.03","1218.05","2106.04","-50.88","84.07","-134.95","51.82","24.78","46.55","34.39","15.12","11.70","-96.67","1869.79","88.80","111.11","-99.18","","0.00","4.00","-649.75","NO PATTERN","2016-08-30"
"SHRIRAMCIT","2142.80","3990.00","79096.34","1.85","-3.85","8.75","28.97","23.47","2135.30","2148.02","2194.10","2146.59","2121.10","2110.96","2016.56","2033.79","1907.75","1962.11","1788.33","1850.65","1659.82","1754.10","2354.66","1887.54","2121.10","73.52","93.51","-19.99","41.67","21.97","17.44","56.98","32.59","22.73","-22.49","2327.86","53.90","83.80","-56.91","0.50","29.80","15.48","172.40","NO PATTERN","2016-08-30"
"SHRIRAMEPC","23.20","99154.00","176431.30","-2.11","-5.69","-1.49","0.00","-29.27","23.89","23.56","22.88","23.23","22.75","23.14","23.26","23.17","23.27","23.29","23.53","23.85","26.43","26.25","24.62","20.87","22.75","0.12","-0.08","0.19","25.27","29.02","14.87","50.40","20.19","33.71","-120.42","22.03","1.90","1.62","-69.50","-0.08","0.00","24.15","-0.35","Doji","2016-08-30"
"SHYAMCENT","7.40","45076.00","21095.98","-3.90","3.50","-3.27","15.62","-31.80","7.29","7.36","7.24","7.34","7.46","7.33","7.36","7.25","7.05","7.13","6.87","6.91","6.65","7.07","8.17","6.76","7.46","0.03","0.05","-0.03","14.79","20.99","10.69","51.88","32.37","25.32","63.25","6.54","0.90","0.68","-50.00","0.29","47.72","56.20","-0.25","Doji","2016-08-30"
"SHYAMTEL","30.70","1718.00","33969.20","0.99","-0.49","-1.44","8.29","7.16","30.51","30.58","30.77","30.79","31.02","30.98","31.61","31.14","31.55","31.16","30.79","31.11","31.34","31.12","32.01","30.03","31.02","-0.33","-0.28","-0.05","26.94","22.27","13.04","46.20","42.69","35.44","156.36","32.87","1.00","1.62","-67.42","0.04","100.00","54.13","-0.45","NO PATTERN","2016-08-30"
"SICAGEN","20.70","43240.00","68759.64","2.99","3.76","-1.19","19.31","34.42","20.13","20.18","19.39","19.85","19.51","19.86","20.50","19.89","20.14","19.77","19.13","19.31","18.15","18.10","21.25","17.77","19.51","-0.04","-0.22","0.18","24.07","23.74","11.62","58.89","56.36","58.18","156.25","18.82","1.60","1.21","-22.86","0.13","100.00","100.00","-0.25","Doji","2016-08-30"
"SICAL","153.95","38361.00","51567.66","2.56","2.67","-2.13","17.47","-9.01","151.79","151.78","150.61","151.26","150.12","151.51","153.25","151.81","154.25","151.22","147.93","148.83","140.86","148.37","156.23","144.02","150.12","-0.48","-0.91","0.44","13.65","20.63","14.84","52.78","39.45","34.73","85.02","157.40","6.00","7.39","-22.32","0.08","100.00","36.62","-3.35","NO PATTERN","2016-08-30"
"SIEMENS","1276.75","201257.00","227027.02","-0.36","-0.68","-3.17","6.02","-9.81","1281.18","1282.37","1291.49","1289.01","1290.28","1292.04","1303.49","1290.46","1296.28","1280.90","1248.32","1253.21","1172.51","1238.78","1328.62","1251.94","1290.28","-4.13","-1.10","-3.02","12.74","12.14","16.06","45.69","50.33","41.61","1.47","1245.16","20.00","29.54","-75.58","0.13","40.40","64.77","-41.75","NO PATTERN","2016-08-30"
"SIEMENS-1M","1287.25","397500.00","532664.00","0.14","0.00","-1.94","6.07","-9.27","1284.75","1287.36","1291.71","1289.65","1284.66","1291.12","1300.51","1289.04","1295.46","1279.92","1249.75","1253.29","1174.22","1240.14","1321.52","1247.81","1284.66","-1.74","-0.70","-1.04","10.27","17.40","15.34","48.96","57.42","44.20","83.36","1249.28","15.00","27.61","-49.75","0.12","67.82","76.42","-25.45","","2016-08-30"
"SIEMENS-2M","1292.75","4000.00","124680.00","0.76","-0.18","-1.98","8.37","-8.92","1290.71","1292.44","1298.36","1295.80","1291.38","1297.02","1305.10","1293.80","1298.79","1283.48","1251.26","1255.66","1179.75","1244.09","1327.17","1255.59","1291.38","-1.06","0.75","-1.80","13.54","28.97","19.42","48.99","46.55","37.41","62.96","1273.40","17.05","21.54","-63.38","0.14","59.27","61.44","-26.05","","2016-08-30"
"SIGNET","32.85","999971.00","403158.94","9.87","9.50","86.65","68.89","-15.12","30.55","30.90","30.08","29.06","26.75","27.42","23.00","25.48","21.77","24.95","24.93","26.74","39.10","33.44","36.49","17.02","26.75","2.94","2.69","0.25","42.75","30.88","8.59","78.97","72.73","65.86","166.67","28.25","3.85","2.01","0.00","-0.08","100.00","34.62","15.25","NO PATTERN","2016-08-30"
"SIL","27.60","21858.00","19234.36","1.28","4.74","22.67","27.19","4.94","27.42","27.33","26.70","26.52","25.58","25.79","24.01","24.76","23.04","24.11","22.86","23.55","23.75","23.52","28.97","22.18","25.58","1.35","1.26","0.09","52.09","22.65","5.63","71.17","63.33","64.37","21.83","25.70","1.00","1.17","-17.98","0.24","42.19","38.34","5.10","NO PATTERN","2016-08-30"
"SILINV","99.85","754.00","2594.64","0.40","0.15","-0.55","16.17","0.00","99.72","99.52","98.77","99.06","98.43","98.80","98.42","98.07","98.12","96.86","92.85","93.76","87.24","87.17","101.20","95.66","98.43","0.57","0.50","0.07","14.17","15.18","21.12","54.46","47.81","52.24","-69.05","93.11","4.50","3.57","-28.99","0.19","52.34","28.51","-0.55","NO PATTERN","2016-08-30"
"SIMBHALS","33.00","50209.00","184035.90","0.30","-4.35","-17.19","5.77","0.00","33.11","33.16","33.26","33.80","34.31","34.66","36.78","36.06","39.34","36.78","37.51","35.92","","","38.28","30.34","34.31","-1.66","-1.83","0.16","32.13","11.63","23.97","41.21","21.38","22.15","-82.90","30.24","0.90","2.13","-45.74","-0.12","61.59","45.51","-6.85","NO PATTERN","2016-08-30"
"SIMPLEX","25.70","1614.00","25864.90","0.59","-0.77","-13.18","4.47","4.68","25.80","25.75","25.81","26.05","26.17","26.37","27.96","26.69","27.09","26.76","26.51","26.76","27.73","26.84","27.38","24.96","26.17","-0.56","-0.52","-0.03","10.15","20.35","21.34","43.56","38.58","49.03","-55.56","26.71","0.65","1.40","-61.67","0.06","39.25","27.14","-3.90","NO PATTERN","2016-08-30"
"SIMPLEXINF","293.45","22890.00","24499.74","-0.95","-2.57","-3.90","7.49","-10.38","297.73","296.66","297.37","297.86","298.60","298.10","300.51","296.44","294.35","293.08","283.27","286.35","279.14","289.98","306.42","290.77","298.60","0.10","0.95","-0.85","23.83","18.05","15.80","45.27","37.68","49.81","-125.90","313.68","8.05","9.01","-86.19","0.20","0.00","29.99","-11.90","Doji","2016-08-30"
"SINTEX","73.90","8508369.00","4091209.06","3.14","0.34","-3.65","-8.82","-26.17","72.47","72.73","72.58","73.00","72.86","73.62","75.70","74.77","76.77","75.65","77.80","77.15","81.85","83.50","74.95","70.77","72.86","-1.23","-1.46","0.22","16.44","23.83","23.47","48.41","41.74","30.32","71.23","70.95","3.00","1.73","-15.00","-0.12","100.00","46.38","-2.80","Engulfing Line - Bullish","2016-08-30"
"SINTEX-1M","74.50","9219750.00","","3.11","0.81","-2.68","0.00","0.00","72.84","73.17","72.89","73.33","73.06","74.03","75.90","76.18","","","","","","","75.03","71.09","73.06","-1.63","-2.07","0.44","29.89","22.45","30.18","47.46","68.05","56.85","92.01","69.30","2.80","1.81","-9.57","","100.00","70.67","-2.05","","2016-08-30"
"SINTEX-2M","75.70","64125.00","","4.13","1.68","-1.69","0.00","0.00","73.46","73.89","73.45","73.90","73.55","74.55","76.32","76.63","","","","","","","75.62","71.48","73.55","-1.54","-2.01","0.47","26.81","28.06","30.38","50.34","55.42","39.51","105.81","71.30","3.00","1.55","0.00","","100.00","63.66","-1.30","","2016-08-30"
"SITASHREE","11.15","45561.00","52066.32","-1.76","-7.47","-3.46","14.95","-21.48","11.57","11.45","11.69","11.63","11.74","11.67","11.76","11.60","11.51","11.45","10.83","11.26","11.55","11.76","12.89","10.59","11.74","-0.04","0.05","-0.09","19.31","22.81","14.96","44.07","19.44","35.39","-67.48","12.90","1.40","0.96","-67.35","0.25","0.00","0.19","-0.40","NO PATTERN","2016-08-30"
"SITINET","35.30","80109.00","161180.46","0.43","-2.22","-9.37","-6.49","3.67","35.72","35.66","36.66","36.41","37.18","36.79","37.48","37.15","37.68","37.26","37.32","37.06","35.85","35.98","39.33","35.03","37.18","-0.66","-0.41","-0.25","21.20","10.05","20.54","31.22","15.69","17.49","-75.76","37.34","0.65","0.95","-92.50","0.02","25.07","8.36","-3.65","NO PATTERN","2016-08-30"
"SIYSIL","1313.85","3218.00","5783.88","1.76","10.36","26.94","29.68","20.98","1276.19","1275.84","1174.25","1201.24","1129.63","1165.00","1095.35","1128.02","1090.70","1107.14","1073.05","1083.71","1055.73","1063.32","1326.85","932.41","1129.63","62.79","37.83","24.96","42.17","33.27","3.08","76.06","80.55","83.78","58.05","1212.00","39.00","47.29","-12.22","0.10","13.19","37.73","278.85","NO PATTERN","2016-08-30"
"SJVN","28.00","417082.00","649567.16","0.90","-0.53","0.54","1.08","11.55","28.15","28.02","28.00","28.02","27.91","28.02","28.06","28.06","28.24","28.11","28.12","28.18","28.63","27.94","28.50","27.33","27.91","-0.02","-0.05","0.03","17.10","13.22","17.70","49.29","28.97","46.88","-63.45","28.64","0.45","0.51","-60.87","-0.02","32.93","12.97","0.15","NO PATTERN","2016-08-30"
"SKFINDIA","1395.95","15316.00","10156.84","-0.28","0.04","2.16","12.85","6.36","1401.19","1400.18","1402.85","1400.27","1401.29","1396.71","1392.96","1383.76","1372.44","1366.74","1313.20","1332.89","1253.43","1288.21","1412.46","1390.12","1401.29","8.75","12.07","-3.32","32.31","18.02","10.18","52.63","50.53","55.53","-31.25","1441.84","21.15","26.68","-73.86","0.19","0.00","24.19","29.45","NO PATTERN","2016-08-30"
"SKIL","21.10","36715.00","48915.92","-1.86","-4.31","-19.62","0.00","-3.21","21.63","21.54","21.93","22.17","22.79","22.72","24.20","23.50","24.90","24.05","24.80","24.90","27.42","25.03","25.59","19.99","22.79","-1.03","-0.97","-0.06","24.11","10.48","19.77","34.18","19.07","19.31","-117.12","20.10","1.70","1.65","-68.75","-0.18","0.00","0.00","-5.15","Engulfing Line - Bearish","2016-08-30"
"SKIPPER","162.20","64539.00","146958.52","-0.64","5.81","0.53","10.53","8.13","162.33","161.74","158.41","159.55","157.72","158.72","158.30","157.22","155.32","155.59","150.11","153.15","153.30","153.20","164.62","150.83","157.72","1.63","1.01","0.62","15.05","24.18","17.95","57.19","78.21","79.05","33.69","151.82","3.00","5.61","-28.57","0.15","35.72","70.74","0.85","NO PATTERN","2016-08-30"
