"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"ABGSHIP","27.30","90713.00","291272.98","0.00","-5.70","-7.77","14.47","-79.33","27.59","27.63","28.13","28.11","28.27","28.48","29.26","29.17","30.25","30.13","30.74","34.41","47.00","57.86","29.56","26.99","28.27","-0.71","-0.69","-0.02","12.38","18.26","18.91","34.90","11.06","11.89","-73.64","30.59","0.80","1.25","-86.42","-0.33","0.00","3.38","-2.30","NO PATTERN","2016-09-01"
"ABIRLANUVO","1368.45","1042428.00","886317.02","-0.49","6.87","-6.37","29.26","-32.78","1339.02","1346.27","1298.86","1339.03","1374.62","1343.68","1372.21","1329.28","1316.16","1295.71","1171.15","1242.25","1266.02","1420.75","1621.12","1128.12","1374.62","-2.82","-0.72","-2.11","29.79","25.27","21.70","53.43","74.97","75.30","65.58","1447.08","34.25","60.50","-16.47","0.50","90.95","96.98","-93.05","NO PATTERN","2016-09-01"
"ABIRLANUVO-1M","1373.10","2337750.00","2654130.00","-0.60","7.29","-6.33","28.72","-32.19","1345.66","1351.61","1302.67","1343.36","1378.10","1347.67","1375.54","1333.11","1319.97","1299.52","1175.04","1246.02","1269.67","1424.86","1625.20","1130.99","1378.10","-2.30","-0.66","-1.64","29.60","24.92","22.39","53.48","75.76","79.70","63.08","1449.63","37.70","60.83","-15.78","0.50","88.38","96.13","-92.85","","2016-09-01"
"ABIRLANUVO-2M","1383.85","7500.00","399600.00","-0.44","7.20","-6.14","35.03","-37.66","1356.07","1362.07","1311.87","1352.80","1386.51","1356.05","1382.38","1339.04","1322.79","1304.29","1165.06","1260.39","1362.93","1478.27","1632.67","1140.34","1386.51","-0.05","1.76","-1.81","20.82","31.90","29.35","53.97","82.66","86.11","55.69","1457.77","9.05","54.11","-13.74","0.52","91.15","97.05","-90.45","","2016-09-01"
"ACC","1687.55","460835.00","300710.04","-1.30","2.54","1.01","9.13","23.44","1671.82","1679.98","1668.51","1670.05","1668.44","1666.30","1665.29","1654.01","1644.80","1633.90","1576.16","1581.65","1431.44","1487.27","1727.37","1609.51","1668.44","8.72","7.85","0.87","19.05","27.22","23.40","55.85","79.88","63.28","44.21","1607.41","41.80","37.41","-36.34","0.18","65.64","88.55","16.80","NO PATTERN","2016-09-01"
"ACC-1M","1700.50","1354400.00","878722.50","-1.27","3.35","1.36","9.34","25.22","1684.22","1691.13","1674.75","1677.97","1674.05","1673.08","1670.43","1659.90","1649.83","1639.37","1581.25","1586.50","1434.41","1490.80","1735.38","1612.72","1674.05","10.61","8.49","2.12","19.98","29.94","20.23","57.25","83.16","67.61","46.64","1600.25","42.60","35.94","-29.49","0.18","65.13","88.38","22.80","","2016-09-01"
"ACC-2M","1707.95","9200.00","167360.00","-1.50","3.08","1.26","9.68","25.02","1697.02","1701.58","1686.18","1688.54","1683.77","1682.66","1676.53","1667.74","1654.76","1646.02","1585.96","1591.88","1438.08","1495.37","1750.31","1617.22","1683.77","12.55","10.88","1.67","18.65","33.73","26.30","55.44","89.13","72.24","40.03","1613.20","36.40","33.06","-29.09","0.19","63.71","87.90","21.25","","2016-09-01"
"ACC-3M","1706.00","1200.00","4197.00","2.54","1.19","6.14","26.32","0.00","1689.17","1689.38","1697.15","1678.96","1671.46","1654.32","1603.06","1599.58","1492.26","1553.37","","","","","1748.93","1594.00","1671.46","51.75","63.55","-11.80","22.68","55.12","37.37","62.48","44.11","35.91","70.97","1737.73","44.25","36.69","-36.97","","51.90","17.30","98.65","","2016-09-01"
"ACCELYA","1222.45","417.00","3867.84","-1.63","1.00","2.42","11.07","24.35","1226.88","1230.22","1240.27","1232.75","1236.35","1229.59","1223.01","1216.11","1200.21","1195.81","1145.83","1146.70","1013.45","1066.94","1271.26","1201.44","1236.35","8.23","12.96","-4.73","26.42","19.46","16.00","49.66","52.34","43.38","-3.05","1270.51","30.65","33.67","-71.26","0.25","29.98","60.92","28.85","NO PATTERN","2016-09-01"
"ACE","43.95","161967.00","322648.70","-3.72","1.85","-6.29","9.46","20.58","43.68","43.95","43.34","43.88","44.23","44.16","45.25","44.37","45.09","44.18","43.15","43.37","41.61","42.58","48.23","40.23","44.23","-0.47","-0.55","0.08","15.04","21.98","13.60","48.62","66.14","58.51","59.48","41.55","2.10","1.99","-47.37","0.13","51.04","83.68","-2.95","NO PATTERN","2016-09-01"
"ADANIENT","70.50","2712230.00","4035955.08","-3.16","-3.75","-9.38","-6.68","-1.19","72.33","72.29","73.78","73.78","75.00","74.82","77.30","76.13","78.78","76.75","77.58","76.96","75.95","77.74","79.52","70.49","75.00","-1.88","-1.61","-0.27","19.01","11.66","27.77","34.41","37.54","41.93","-155.47","74.44","3.30","2.60","-96.32","-0.04","0.00","44.53","-7.30","NO PATTERN","2016-09-01"
"ADANIENT-1M","70.95","5056000.00","9703640.00","-3.34","-3.27","-9.15","-6.77","-0.28","72.89","72.79","74.15","74.20","75.38","75.20","77.61","76.48","79.11","77.09","77.91","77.27","76.20","78.02","79.86","70.90","75.38","-1.83","-1.59","-0.24","17.73","11.78","27.20","34.58","44.41","48.49","-149.02","75.85","3.45","2.63","-94.94","-0.04","0.00","49.58","-7.15","","2016-09-01"
"ADANIENT-2M","71.05","16000.00","2219520.00","-3.92","-6.08","-9.66","-7.06","-18.71","73.05","73.06","74.64","74.68","75.79","75.73","78.22","77.01","79.57","77.56","78.34","77.66","76.57","78.44","80.20","71.38","75.79","-1.90","-1.57","-0.33","5.65","55.13","58.64","35.27","23.63","20.02","-134.48","60.81","2.90","3.35","-100.00","-0.02","0.00","40.29","-7.60","","2016-09-01"
"ADANIENT-3M","72.25","8000.00","","-2.50","-17.85","-10.14","0.00","0.00","77.55","76.20","80.85","79.60","82.25","81.21","82.62","83.07","","","","","","","98.32","66.17","82.25","-3.15","-2.70","-0.45","10.45","73.90","73.21","42.21","1.20","26.11","-76.27","8.45","1.85","10.29","-22.40","","0.00","0.00","-8.15","","2016-09-01"
"ADANIPORTS","258.70","3552214.00","5354956.20","-1.62","-1.17","15.16","26.07","-22.68","260.98","261.74","266.88","260.98","259.10","256.71","244.82","247.80","233.52","240.32","218.73","232.51","228.03","245.83","285.85","232.35","259.10","8.74","10.93","-2.19","39.96","21.56","19.53","56.01","60.65","53.27","-15.75","273.12","6.10","8.42","-65.32","0.41","0.00","39.87","34.05","NO PATTERN","2016-09-01"
"ADANIPORTS-1M","259.75","6045000.00","11694902.00","-1.85","-0.69","15.01","26.09","-22.46","262.54","263.02","267.58","261.96","259.87","257.57","245.42","248.55","234.15","241.02","219.42","233.16","228.63","246.52","286.10","233.64","259.87","8.95","11.02","-2.07","39.82","21.55","20.65","56.44","63.14","56.18","-24.78","273.16","6.75","8.25","-64.69","0.41","0.00","40.91","33.90","","2016-09-01"
"ADANIPORTS-2M","261.50","65000.00","2465250.00","-2.17","-0.93","15.53","26.24","-22.13","264.37","264.93","269.38","263.74","261.50","259.24","246.81","250.07","235.50","242.44","220.58","234.47","229.80","247.83","288.24","234.76","261.50","9.15","11.20","-2.05","40.98","23.01","21.69","56.43","64.06","56.10","-32.14","274.84","6.75","7.75","-64.83","0.41","0.00","42.72","35.15","","2016-09-01"
"ADANIPOWER","26.90","4420180.00","6072916.76","-2.71","-1.65","-0.37","-10.93","27.79","27.27","27.31","27.56","27.45","27.41","27.56","27.69","27.86","28.36","28.20","29.06","28.73","29.49","28.58","28.38","26.43","27.41","-0.24","-0.27","0.03","11.77","17.69","21.39","41.60","42.08","39.38","-55.56","28.60","1.25","0.84","-74.36","-0.17","0.00","52.94","-0.10","Engulfing Line - Bearish","2016-09-01"
"ADANIPOWER-1M","27.05","14320000.00","23144800.00","-2.87","-1.46","-0.37","-11.02","28.50","27.49","27.49","27.69","27.60","27.54","27.70","27.80","27.99","28.47","28.33","29.19","28.86","29.61","28.70","28.45","26.62","27.54","-0.22","-0.26","0.04","13.27","16.45","21.43","41.16","50.71","49.47","-72.92","28.25","1.25","0.83","-71.05","-0.17","0.00","58.04","-0.10","","2016-09-01"
"ADANIPOWER-2M","27.25","580000.00","10359200.00","-3.02","-1.62","0.00","-11.09","5.62","27.65","27.68","27.88","27.79","27.72","27.88","27.99","28.17","28.65","28.51","29.37","29.03","29.78","28.87","28.64","26.80","27.72","-0.22","-0.26","0.04","12.81","20.47","24.95","41.81","49.27","43.97","-71.16","28.49","1.10","0.70","-75.00","-0.17","0.00","60.12","0.00","","2016-09-01"
"ADANITRANS","38.95","404769.00","1496794.92","-2.01","-2.62","2.23","20.96","18.21","39.64","39.46","39.08","39.22","39.00","39.00","38.65","38.47","38.20","37.79","35.26","36.48","34.67","35.08","40.87","37.12","39.00","0.46","0.46","0.00","24.09","23.29","17.01","51.19","40.31","54.18","-85.27","37.30","1.40","1.45","-60.94","0.27","0.00","39.96","0.85","NO PATTERN","2016-09-01"
"ADFFOODS","129.95","355162.00","275370.22","2.36","9.57","12.56","53.61","92.66","127.04","127.14","122.75","123.08","120.25","119.96","112.96","114.33","105.53","109.36","97.47","101.81","90.36","93.66","130.94","109.57","120.25","6.11","5.93","0.18","52.49","35.59","8.93","71.59","56.64","53.61","52.37","120.00","8.60","5.77","-38.70","0.61","55.98","63.43","14.50","NO PATTERN","2016-09-01"
"ADHUNIK","7.70","52582.00","107086.46","-1.91","-1.91","-7.23","4.76","-49.67","7.83","7.82","7.92","7.94","8.03","8.01","8.22","8.10","8.19","8.22","8.18","8.72","10.90","10.92","8.48","7.59","8.04","-0.13","-0.11","-0.03","11.92","16.28","11.64","40.83","21.21","24.07","-71.43","8.29","0.45","0.45","-93.33","-0.11","0.00","32.64","-0.60","Doji","2016-09-01"
"ADHUNIKIND","120.45","32762.00","","-1.87","-13.66","30.78","0.00","0.00","127.89","126.85","136.93","132.74","142.19","131.49","122.36","120.49","","","","","","","175.82","108.57","142.19","4.24","8.82","-4.58","26.85","27.59","26.16","45.23","13.34","14.23","-84.44","166.16","7.10","11.87","-91.08","","0.00","0.00","28.35","NO PATTERN","2016-09-01"
"ADI","385.70","3236.00","18294.92","0.03","-0.55","0.88","37.92","82.06","386.04","386.25","384.39","384.03","379.92","381.18","376.82","373.68","369.65","363.71","333.19","340.84","282.58","293.90","398.28","361.55","379.92","6.17","6.84","-0.66","13.75","18.09","16.86","55.09","30.18","40.44","-75.31","350.76","6.85","16.42","-36.46","0.41","30.80","34.34","3.35","NO PATTERN","2016-09-01"
"ADLABS","78.65","58057.00","391270.84","-0.94","-1.63","-7.20","-6.70","-35.95","78.72","79.24","81.15","80.95","82.95","81.97","84.64","82.81","83.13","83.20","82.76","84.83","94.15","96.09","89.47","76.44","82.95","-1.69","-1.09","-0.61","13.71","18.14","23.78","38.28","36.26","31.55","-14.71","77.05","2.45","3.15","-81.82","0.02","68.88","70.76","-6.10","NO PATTERN","2016-09-01"
"ADORWELD","286.90","2525.00","6543.48","-2.22","0.51","5.56","-2.51","29.47","286.78","286.87","280.77","282.35","276.35","280.79","278.51","280.45","281.95","281.05","285.04","281.95","285.66","280.96","293.69","259.02","276.35","2.34","0.21","2.14","21.51","23.21","14.18","56.42","72.83","70.89","49.40","269.23","8.95","9.61","-33.99","-0.07","24.71","74.90","15.10","NO PATTERN","2016-09-01"
"ADSL","30.70","128209.00","199183.96","-0.97","-2.85","-6.83","-6.83","2.50","31.05","31.01","31.00","31.22","31.15","31.50","32.45","32.12","32.94","32.82","34.69","34.39","40.10","36.30","33.06","29.24","31.15","-0.58","-0.68","0.10","13.00","17.90","14.84","40.35","15.74","17.97","-81.04","29.92","1.50","1.53","-53.19","-0.25","0.00","15.32","-2.25","NO PATTERN","2016-09-01"
"ADVANIHOTR","54.10","1342.00","6909.90","1.88","-0.73","-3.31","-2.35","2.66","53.95","53.96","54.23","54.33","54.60","54.57","55.08","54.78","55.34","54.66","54.01","53.83","51.22","52.04","56.62","52.59","54.60","-0.42","-0.33","-0.09","24.42","22.69","13.58","46.81","29.86","30.53","-70.90","59.37","2.30","2.40","-65.91","0.06","100.00","33.33","-1.85","NO PATTERN","2016-09-01"
"ADVENZYMES","1374.95","110626.00","","0.62","1.87","-0.01","0.00","0.00","1358.87","1364.97","1360.87","1364.74","1384.04","1374.81","","","","","","","","","1474.34","1293.73","1384.04","","","","","23.31","17.85","62.03","69.25","58.60","39.43","1440.12","37.40","69.67","-38.51","","57.46","68.98","-0.20","NO PATTERN","2016-09-01"
"AEGISCHEM","139.60","5445590.00","867130.12","6.16","13.77","13.96","26.85","95.96","130.63","131.49","121.92","125.71","122.21","124.15","121.94","122.96","123.18","121.91","120.10","118.64","108.79","109.35","135.37","109.05","122.21","2.57","0.33","2.25","23.41","34.17","11.48","72.79","85.55","84.61","140.23","115.97","11.55","5.90","-7.46","0.06","100.00","100.00","17.10","NO PATTERN","2016-09-01"
"AFL","68.40","30463.00","28938.74","-2.08","-0.22","31.41","33.86","2.32","69.31","69.05","65.61","66.12","62.10","63.93","59.09","61.35","58.22","59.90","58.12","58.95","61.68","63.16","75.85","48.34","62.10","3.90","3.12","0.78","41.62","33.29","9.24","62.12","42.36","45.74","-39.47","68.00","1.95","4.05","-38.00","0.16","0.00","11.53","16.35","NO PATTERN","2016-09-01"
"AGARIND","167.15","11526.00","21515.80","0.63","-3.35","24.79","41.65","66.32","167.93","166.57","156.88","159.18","149.73","153.81","143.72","146.92","137.29","142.55","131.92","138.64","145.79","136.78","180.87","118.59","149.73","9.72","7.87","1.85","31.43","28.03","9.63","68.97","27.70","44.69","-76.99","154.21","5.50","7.79","-23.01","0.28","8.60","2.87","33.20","NO PATTERN","2016-09-01"
"AGCNET","81.20","8097.00","19208.64","0.62","8.85","32.25","37.51","-16.42","78.93","79.41","77.64","76.96","75.02","74.96","69.70","71.95","67.19","70.02","65.89","69.02","73.16","76.43","89.82","60.21","75.02","3.76","3.61","0.16","30.29","26.10","9.74","67.16","75.79","73.49","70.57","74.84","3.35","4.74","-42.50","0.28","100.00","98.13","19.80","NO PATTERN","2016-09-01"
"AGRITECH","30.20","24932.00","4915.48","4.86","-14.33","15.49","241.24","0.00","30.93","31.32","36.72","33.46","35.56","32.65","29.38","29.37","22.92","26.02","17.06","17.75","","","45.31","25.82","35.56","2.13","4.13","-2.00","55.66","40.42","46.07","47.81","15.30","5.10","-64.73","39.86","2.80","1.74","-85.42","3.27","32.48","10.83","4.05","Engulfing Line - Bullish","2016-09-01"
"AGRODUTCH","2.35","650.00","14264.68","-4.08","0.00","-4.08","0.00","-30.88","2.40","2.41","2.48","2.46","2.54","2.48","2.52","2.51","2.52","2.53","2.53","2.60","2.92","2.88","2.92","2.16","2.54","-0.04","-0.02","-0.02","21.49","12.87","20.86","43.10","66.67","58.33","-66.67","2.83","0.15","0.20","-92.31","-0.03","16.01","62.29","-0.10","NO PATTERN","2016-09-01"
"AHLEAST","191.05","1297.00","2371.40","0.53","0.53","-4.38","9.17","15.75","190.97","191.31","193.64","193.54","196.01","194.91","199.82","194.85","196.45","192.16","181.63","183.81","162.19","170.47","206.44","185.58","196.01","-2.02","-1.05","-0.98","20.55","32.97","12.02","45.20","14.46","17.96","-36.17","186.65","4.40","10.71","-84.78","0.28","45.22","54.25","-8.75","NO PATTERN","2016-09-01"
"AHLUCONT","305.30","9251.00","40228.96","0.00","-2.58","4.88","14.34","28.93","308.09","306.67","303.44","303.71","298.66","300.65","293.92","295.99","289.74","292.21","283.72","285.80","272.56","273.46","316.93","280.38","298.66","5.74","5.41","0.33","24.11","20.38","10.77","59.98","17.62","32.06","-125.99","301.28","6.00","8.42","-41.67","0.14","0.00","0.00","14.20","NO PATTERN","2016-09-01"
"AHLWEST","170.00","407.00","1939.36","1.80","0.00","2.81","31.78","46.55","168.11","168.93","171.55","169.78","171.69","169.03","166.54","165.89","162.70","161.68","148.90","152.87","133.86","138.74","178.60","164.77","171.69","1.95","3.25","-1.30","20.94","18.84","13.78","52.82","48.72","37.65","100.07","181.05","3.05","9.12","-61.47","0.40","100.00","35.48","4.65","NO PATTERN","2016-09-01"
"AIAENG","1251.40","26069.00","41379.82","-2.35","5.43","22.93","24.95","32.87","1249.20","1252.29","1238.87","1220.72","1187.91","1192.46","1120.90","1148.69","1084.75","1114.22","1040.31","1060.88","946.40","995.33","1350.70","1025.12","1187.91","53.32","51.34","1.98","38.68","31.00","16.11","63.26","82.73","79.46","28.46","1296.73","60.95","47.17","-33.30","0.34","43.57","79.23","233.45","NO PATTERN","2016-09-01"
"AIFL","372.65","101749.00","96874.74","0.31","7.07","26.32","44.35","0.00","361.92","361.98","335.43","342.70","323.69","331.91","312.75","317.81","300.42","307.18","281.43","292.75","","","378.55","268.82","323.69","19.58","14.28","5.29","39.23","31.17","10.06","81.16","78.55","80.98","143.82","330.89","15.45","15.00","-11.40","0.37","100.00","90.79","77.65","NO PATTERN","2016-09-01"
"AIL","603.65","9752.00","16759.52","-1.65","0.73","-1.36","-1.57","-9.40","606.89","606.67","606.98","607.69","609.16","609.82","616.55","613.17","619.30","615.07","617.83","617.06","615.41","626.70","622.61","595.70","609.16","-4.07","-4.58","0.52","39.63","11.09","21.36","44.17","45.93","52.91","-48.43","589.37","18.40","15.66","-70.58","-0.02","39.99","74.35","-8.35","Doji","2016-09-01"
"AJANTPHARM","1935.45","173000.00","157985.14","1.80","-1.98","6.05","24.10","33.62","1934.86","1934.89","1956.49","1930.69","1923.17","1903.55","1827.26","1842.33","1737.30","1784.08","1648.02","1687.36","1473.68","1566.57","2030.92","1815.41","1923.17","56.77","72.10","-15.33","48.56","23.00","15.70","61.16","22.21","17.53","-56.25","1991.63","55.20","45.77","-61.32","0.44","31.18","10.39","110.35","Engulfing Line - Bullish","2016-09-01"
"AJANTPHARM-1M","1948.10","354000.00","383048.00","1.68","-1.21","6.67","24.08","35.65","1949.29","1947.13","1962.17","1938.68","1927.47","1909.82","1830.32","1847.36","1741.38","1788.70","1652.74","1691.57","1476.82","1570.40","2035.02","1819.92","1927.47","59.60","73.21","-13.61","43.68","26.73","16.53","62.58","23.85","22.30","-56.32","1996.13","54.50","42.62","-47.90","0.44","27.93","9.31","121.75","","2016-09-01"
"AJANTPHARM-2M","1955.00","1200.00","59248.00","1.35","-2.80","17.28","30.88","25.09","1960.82","1957.91","1961.72","1936.74","1909.72","1896.97","1794.30","1824.33","1706.54","1762.64","1633.17","1666.92","1477.39","1553.84","2076.52","1742.93","1909.72","78.24","88.32","-10.08","32.28","30.42","23.19","65.09","25.76","33.16","-25.35","2016.23","28.75","39.89","-45.69","0.43","19.53","9.00","288.05","","2016-09-01"
"AJMERA","139.50","41362.00","63217.74","-1.27","-0.89","-4.62","-16.74","34.78","140.57","140.76","141.86","142.05","142.52","143.40","147.04","145.90","149.41","147.83","155.39","149.13","149.33","143.71","148.37","136.67","142.52","-2.68","-2.85","0.17","11.54","19.87","18.73","38.63","32.58","28.24","-70.81","149.42","4.85","4.80","-89.15","-0.15","20.52","65.93","-6.75","NO PATTERN","2016-09-01"
"AKSHOPTFBR","14.95","3279147.00","1024569.62","3.46","1.36","-2.61","4.18","-12.06","14.58","14.68","14.83","14.82","14.93","14.99","15.39","15.22","15.82","15.32","15.37","15.32","15.33","15.77","15.52","14.35","14.93","-0.31","-0.32","0.01","22.25","30.77","17.55","46.63","20.85","14.25","150.96","14.25","1.95","0.57","-67.44","-0.03","100.00","55.29","-0.40","NO PATTERN","2016-09-01"
"AKZOINDIA","1692.10","6205.00","11979.32","-1.62","4.08","3.40","11.07","36.33","1677.76","1681.90","1645.03","1654.75","1635.31","1641.22","1614.98","1619.36","1598.32","1595.11","1529.67","1542.62","1412.30","1460.98","1698.21","1572.40","1635.31","25.55","19.09","6.47","30.58","28.21","8.10","62.05","72.26","60.95","67.64","1630.00","33.05","45.32","-35.53","0.19","50.54","83.51","55.60","NO PATTERN","2016-09-01"
"ALANKIT","137.90","120194.00","258253.64","-3.06","-6.32","7.86","7.52","241.84","141.40","140.67","137.63","138.38","133.81","136.66","133.59","134.56","134.45","132.23","126.34","125.09","99.24","101.18","149.17","118.45","133.81","3.04","2.20","0.83","21.97","18.83","23.10","53.19","36.03","37.10","-166.67","157.50","15.35","9.24","-56.81","0.19","0.00","1.94","10.05","NO PATTERN","2016-09-01"
"ALBERTDAVD","305.10","1470.00","2497.40","-0.33","2.97","-4.64","0.00","0.00","304.95","304.71","299.48","304.90","308.12","306.41","311.01","308.53","311.48","310.84","","","","","335.13","281.10","308.12","-2.75","-3.11","0.36","17.33","23.22","18.82","47.88","42.58","50.88","-0.22","279.26","5.65","11.99","-49.45","","63.89","72.09","-14.85","NO PATTERN","2016-09-01"
"ALBK","82.05","3510819.00","5444575.16","-2.50","3.40","8.10","58.40","-0.42","81.42","81.88","79.43","80.10","78.45","79.08","77.74","77.03","76.13","74.53","66.29","70.00","62.19","68.93","84.34","72.56","78.45","2.03","1.69","0.35","18.19","31.33","19.94","59.50","73.14","62.10","40.11","76.22","2.95","3.13","-29.80","0.51","47.22","82.41","6.15","NO PATTERN","2016-09-01"
"ALBK-1M","82.45","17570000.00","19043120.00","-2.54","3.58","7.92","58.71","0.73","81.97","82.35","79.79","80.50","78.80","79.44","78.06","77.32","76.25","74.77","66.39","70.17","62.31","69.07","84.85","72.75","78.80","2.11","1.75","0.36","16.28","30.74","20.26","59.79","73.73","64.40","37.85","76.36","3.20","3.20","-29.35","0.52","40.88","79.39","6.05","","2016-09-01"
"ALBK-2M","82.60","260000.00","2758800.00","-2.71","3.19","7.69","58.85","-6.88","82.23","82.61","80.12","80.78","79.05","79.71","78.27","77.52","76.27","74.92","66.40","70.27","62.43","69.23","85.19","72.91","79.05","2.16","1.83","0.33","16.63","36.05","23.35","59.41","73.25","62.79","33.71","78.01","2.60","2.82","-29.53","0.53","39.02","78.79","5.90","","2016-09-01"
"ALCHEM","23.70","2260.00","20811.58","-0.42","-1.04","-3.66","14.77","13.13","23.76","23.75","23.65","23.79","23.73","23.91","24.43","24.06","24.63","24.04","23.71","23.85","23.84","23.71","24.77","22.70","23.73","-0.23","-0.27","0.05","17.55","25.18","14.07","47.34","31.02","35.05","-36.06","23.07","0.50","1.31","-66.67","0.06","50.96","71.93","-0.90","NO PATTERN","2016-09-01"
