"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"20MICRONS","36.30","141885.00","147014.20","-4.97","-5.96","23.68","26.92","42.35","37.79","37.63","38.58","37.69","37.74","36.91","34.17","35.34","32.67","34.12","31.64","32.52","30.26","30.57","43.37","32.11","37.74","1.59","2.07","-0.48","38.57","23.64","17.57","51.30","26.22","26.71","-145.34","43.99","2.75","2.00","-97.21","0.43","0.00","13.24","6.95","NO PATTERN","2016-09-01"
"3IINFOTECH","5.05","2619267.00","3419938.40","-3.81","-4.72","1.00","27.85","68.33","5.17","5.19","5.37","5.27","5.32","5.27","5.23","5.21","5.17","5.11","4.76","4.91","4.62","4.56","5.91","4.72","5.32","0.02","0.07","-0.06","21.65","21.93","22.51","44.91","28.31","24.61","-63.06","6.13","0.30","0.32","-96.15","0.32","0.00","38.58","0.05","NO PATTERN","2016-09-01"
"3MINDIA","12873.60","820.00","1323.90","-0.06","-1.14","-6.59","3.21","18.81","12927.79","12937.08","13077.15","13079.85","13151.74","13182.70","13535.45","13261.47","13391.47","13227.75","13139.49","12969.72","11945.10","12197.56","13535.49","12767.99","13151.74","-172.49","-135.24","-37.25","13.52","22.44","19.58","36.54","14.16","13.20","-152.63","13200.00","100.00","301.19","-89.60","0.09","0.00","1.11","-908.80","NO PATTERN","2016-09-01"
"A2ZINFRA","37.05","557891.00","1348014.14","-4.02","-4.51","-5.96","44.44","65.03","37.72","37.84","38.08","38.21","38.26","38.49","39.61","38.50","39.86","37.75","34.46","35.21","28.34","30.87","40.99","35.52","38.26","-0.44","-0.36","-0.08","14.19","21.70","21.64","43.44","32.19","27.76","-54.83","35.41","2.50","2.08","-63.71","0.39","4.79","52.46","-2.35","NO PATTERN","2016-09-01"
"AARTIDRUGS","482.80","6675.00","18870.06","-0.92","-0.89","-1.85","3.65","-15.03","486.55","486.64","487.52","489.50","490.88","491.12","499.80","491.04","490.05","489.02","478.45","487.37","497.68","510.76","508.31","473.44","490.88","-2.33","-1.21","-1.12","15.24","19.03","19.31","44.40","35.43","34.00","-65.02","471.41","11.00","15.70","-51.50","0.10","0.00","24.32","-9.10","NO PATTERN","2016-09-01"
"AARTIIND","616.05","11783.00","62744.88","-0.56","3.78","13.69","20.53","49.16","617.08","615.00","603.06","603.30","592.83","594.09","573.67","579.10","557.46","566.61","538.13","547.06","512.74","518.52","630.35","555.30","592.83","17.60","16.35","1.24","43.76","25.77","7.27","63.84","70.82","80.83","17.52","594.06","11.00","17.74","-31.58","0.26","0.00","51.21","74.20","NO PATTERN","2016-09-01"
"AARVEEDEN","73.65","4818.00","49320.88","0.48","0.20","5.14","23.47","16.63","73.60","73.55","73.56","73.47","73.19","73.33","72.66","72.89","74.20","71.94","68.61","69.15","61.93","64.64","78.24","68.14","73.19","0.31","0.34","-0.03","26.36","22.58","11.55","51.64","28.16","29.86","-17.58","70.66","2.30","3.54","-76.97","0.20","45.76","15.25","3.60","NO PATTERN","2016-09-01"
"ABAN","214.30","689977.00","1187917.18","-0.90","-1.85","0.56","7.50","-11.04","215.99","216.20","217.50","216.94","216.26","217.18","218.33","217.08","218.49","215.95","213.81","212.54","202.41","215.18","224.01","208.51","216.26","-0.35","-0.19","-0.16","9.75","22.41","20.85","45.44","30.19","29.70","-82.70","229.55","5.20","6.08","-70.77","0.09","0.00","20.35","1.20","NO PATTERN","2016-09-01"
"ABB","1157.15","37871.00","54800.98","-0.11","-0.10","-6.21","-5.02","-2.06","1153.52","1156.05","1158.53","1164.83","1173.77","1176.36","1213.60","1193.65","1219.59","1204.46","1227.82","1210.95","1179.70","1197.28","1219.43","1128.10","1173.77","-21.66","-22.50","0.84","37.18","9.89","20.07","36.36","39.96","29.59","65.30","1144.72","15.85","25.63","-75.70","-0.08","92.38","97.46","-76.65","NO PATTERN","2016-09-01"
"ABBOTINDIA","4623.80","2284.00","2027.60","-0.79","-2.19","-1.49","0.15","-1.18","4678.87","4664.00","4678.08","4677.26","4686.11","4679.18","4684.35","4675.26","4673.33","4671.56","4639.55","4693.11","4887.51","4867.57","4750.65","4621.57","4686.11","-1.57","4.28","-5.86","10.79","16.50","15.39","42.36","28.60","39.64","-106.74","4594.41","102.00","92.65","-84.06","0.02","0.00","2.17","-69.95","NO PATTERN","2016-09-01"
"ABFRL","152.90","1026086.00","897550.36","-1.80","-6.25","5.74","13.01","-18.04","160.23","158.61","161.17","159.10","157.18","157.16","151.48","153.56","147.97","151.13","144.82","150.97","167.24","168.26","172.38","141.97","157.18","3.85","4.86","-1.01","41.58","24.65","16.36","47.05","20.30","22.54","-130.29","177.23","8.00","7.21","-78.61","0.19","0.00","13.49","8.30","NO PATTERN","2016-09-01"
